locale|uk_UA

SYSTEM_DND_EHCDrone|Дрони-тягачі Розширеного Harvester класу NTCED

SYSTEM_DND_EHCDrone_DESC|Одна з перших пропозицій обладнання від Інженерного відділу корпорації Nishikawa Technologies, що розширює можливості дронів-тягачів Minding LF, які використовуються на малих станціях для підтримки життєдіяльності в Кільцях.

SYSTEM_DND_EHCDrone_SPECS|Енергоспоживання: 55 MW \nЕфективна дистанція: 600 м (пряма видимість) \nШвидкість запуску дронів: 65 дронів/с \nМаса: 4,000 кг \nВиробник: Інженерний відділ корпорації Nishikawa Technologies

SYSTEM_DND_EHCDrone_MANUAL|Автоматично переміщує руду та рятувальні капсули до вантажного відсіку. \nКритерії націлювання на руду можна налаштувати на вкладці Геолог. \nМоже взаємодіяти з сумісним розвідувальним дроном. \nПотрібне зберігання компонентів нанодрона. \nМаневри під час операції призведуть до того, що система спробує скорегувати рух усіх дійсних цілей.



SYSTEM_DND_XLEHCDrone|Дрони-тягачі класу Harvester NTCED XLE

SYSTEM_DND_XLEHCDrone_DESC|Через 2 роки після першої презентації, модель XLE пропонує збільшену дальність дії порівняно з попередньою моделлю, що забезпечує більшу гнучкість та безпеку при видобутку більших астероїдів.

SYSTEM_DND_XLEHCDrone_SPECS|Енергоспоживання: 70 MW \nЕфективна дистанція: 800 м (пряма видимість) \nШвидкість запуску дронів: 75 дронів/с \nМаса: 4,000 кг \nВиробник: Інженерний відділ корпорації Nishikawa Technologies

SYSTEM_DND_XLEHCDrone_MANUAL|Автоматично переміщує руду та рятувальні капсули до вантажного відсіку. \nКритерії націлювання на руду можна налаштувати на вкладці Геолог. \nМоже взаємодіяти з сумісним розвідувальним дроном. \nПотрібне зберігання компонентів нанодрона. \nМаневри під час операції призведуть до того, що система спробує скорегувати рух усіх дійсних цілей.


SYSTEM_DND_PMDrone|Прототип Дронів-тягачів MIL-SPEC класу NTCED 

SYSTEM_DND_PMDrone_DESC|Злита прототипна модель, призначена для військових шахтарьский кораблів на Землі, пропонує значно більшу дальність дії, ніж споживчі моделі від NTCED.

SYSTEM_DND_PMDrone_SPECS|Енергоспоживання: 115 MW \nЕфективна дистанція: 1000 м (пряма видимість) \nШвидкість запуску дронів: 100 дронів/с \nМаса: 4,000 кг \nВиробник: Інженерний відділ корпорації Nishikawa Technologies

SYSTEM_DND_PMDrone_MANUAL|Автоматично переміщує руду та рятувальні капсули до вантажного відсіку. \nКритерії націлювання на руду можна налаштувати на вкладці Геолог. \nМоже взаємодіяти з сумісним розвідувальним дроном. \nПотрібне зберігання компонентів нанодрона. \nМаневри під час операції призведуть до того, що система спробує скорегувати рух усіх дійсних цілей.


SYSTEM_DND_PEXTMDrone|Прототип Дронів-тягачів Розширеного MIL-SPEC класу NTCED 

SYSTEM_DND_PEXTMDrone_DESC|Ще одна злита прототипна модель, призначена для шахтарьский кораблів класу Титан для глибокого космічного дослідження. Це дуже недопрацьована модель, тому вона має  дуже високе енергоспоживання та дуже марнотратна у використанні дронів, хоча переваги переважують недоліки завдяки її можливостям.

SYSTEM_DND_PEXTMDrone_SPECS|Енергоспоживання: 225 MW \nЕфективна дистанція: 1200 м (пряма видимість) \nШвидкість запуску дронів: 275 дронів/с \nМаса: 4,000 кг \nВиробник: Інженерний відділ корпорації Nishikawa Technologies

SYSTEM_DND_PEXTMDrone_MANUAL|Автоматично переміщує руду та рятувальні капсули до вантажного відсіку. \nКритерії націлювання на руду можна налаштувати на вкладці Геолог. \nМоже взаємодіяти з сумісним розвідувальним дроном. \nПотрібне зберігання компонентів нанодрона. \nМаневри під час операції призведуть до того, що система спробує скорегувати рух усіх дійсних цілей.
